200
1,24,20,9,12,1,14,20,
6,30,31,7,2,6,29,8,
8,5,1,26,3,31,14,7,
2,2,18,2,25,29,21,11,
25,13,3,8,27,16,20,10,
28,13,18,3,16,4,2,27,
31,7,2,18,4,19,31,5,
2,4,1,12,6,26,30,20,
14,31,27,19,2,19,29,6,
29,22,23,4,19,1,26,12,
14,17,2,13,19,1,5,4,
5,4,21,8,1,22,4,12,
23,28,23,0,22,29,19,4,
14,16,27,13,8,9,8,30,
3,28,28,20,6,5,1,18,
29,9,20,19,31,13,23,21,
1,27,10,23,8,9,0,22,
15,27,29,18,2,12,20,7,
21,13,8,21,12,4,6,5,
14,2,1,18,25,17,22,11,
27,19,2,15,24,7,8,20,
27,26,9,18,5,29,16,14,
8,31,19,19,8,10,27,28,
11,16,24,5,25,14,13,28,
14,27,22,17,27,9,30,22,
26,27,4,6,0,8,26,18,
27,27,22,27,20,26,20,2,
31,16,29,20,5,13,1,2,
6,20,3,0,20,21,17,14,
11,10,16,18,3,16,10,27,
15,29,1,13,8,14,20,5,
23,17,7,4,15,0,27,23,
7,12,3,12,22,9,26,7,
11,3,23,9,25,23,27,24,
20,30,31,5,28,26,27,18,
2,5,17,16,13,0,13,16,
9,31,17,0,20,27,0,29,
4,30,22,8,9,11,25,3,
13,25,8,3,9,16,11,15,
31,26,5,23,10,29,18,11,
31,14,6,21,7,9,30,19,
3,16,2,27,0,25,21,0,
15,28,14,9,23,2,25,27,
31,9,3,4,14,22,0,6,
8,3,4,30,18,23,26,0,
9,10,28,8,17,27,28,2,
12,29,26,16,31,8,13,21,
6,18,24,18,17,5,9,13,
25,11,6,5,25,9,7,20,
29,7,19,5,6,29,0,11,
7,3,8,14,6,26,9,21,
25,17,10,20,21,25,7,24,
17,27,9,12,2,9,24,27,
8,21,28,8,6,16,15,7,
20,26,23,21,24,20,14,6,
29,26,27,1,5,3,28,24,
27,12,6,30,3,27,3,27,
13,24,20,16,13,16,7,10,
31,4,0,15,29,3,27,20,
8,7,14,31,5,0,10,16,
13,21,6,24,14,10,28,28,
21,17,9,25,3,25,7,15,
31,19,30,26,12,18,26,6,
0,7,1,9,11,17,8,19,
19,27,12,0,20,8,20,21,
20,16,30,24,2,5,5,17,
10,25,31,2,20,19,10,29,
20,17,28,2,10,16,19,11,
8,20,6,28,7,3,11,19,
29,13,27,26,23,5,6,0,
15,21,11,23,31,5,0,12,
19,21,22,6,28,28,27,23,
20,28,28,27,24,14,9,15,
7,24,12,31,5,17,18,8,
